"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"89";"Вирджиния Вульф";"virdzhiniya-vulf";"http://aroslanov.com/api/celebrity/virdzhiniya-vulf";"Вирджиния Вульф";"";"Ирина Староверова";"Майра Тургинбаева";"79950";"81549";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"90";"Витус Беринг";"vitus-bering";"http://aroslanov.com/api/celebrity/vitus-bering";"Витус Беринг";"";"Сергей Ким";"Майра Тургинбаева";"78884";"78884";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"91";"Владимир Иванович Вернадский";"vladimir-ivanovich-vernadskij";"http://aroslanov.com/api/celebrity/vladimir-ivanovich-vernadskij";"Владимир Иванович Вернадский";"";"Ирина Староверова";"";"78884";"0";"10";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"92";"Владимир Михайлович Бехтерев";"vladimir-mihajlovich-behterev";"http://aroslanov.com/api/celebrity/vladimir-mihajlovich-behterev";"Владимир Михайлович Бехтерев";"";"Ирина Староверова";"";"78884";"0";"10";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"93";"Владимир Мономах";"vladimir-monomah";"http://aroslanov.com/api/celebrity/vladimir-monomah";"Владимир Мономах";"";"Сергей Ким";"";"81016";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"94";"Вольфганг Паули ";"volfgang-pauli";"http://aroslanov.com/api/celebrity/volfgang-pauli";"Вольфганг Паули";"";"Наталья Няшина";"";"83148";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"95";"Габриэ́ль Бонёр Шане́ль";"gabriel-bonyor-shanel";"http://aroslanov.com/api/celebrity/gabriel-bonyor-shanel";"Габриэ́ль Бонёр Шане́ль";"";"Наталья Няшина";"";"82082";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"96";"Габриэль Крамер";"gabriel-kramer";"http://aroslanov.com/api/celebrity/gabriel-kramer";"Габриэль Крамер";"";"Ирина Староверова";"";"77285";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"97";"Габриэль Фаренгейт ";"gabriel-farengejt";"http://aroslanov.com/api/celebrity/gabriel-farengejt";"Габриэль Фаренгейт";"";"Ирина Староверова";"";"82082";"0";"9";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"98";"Гай Катулл";"gaj-katull";"http://aroslanov.com/api/celebrity/gaj-katull";"Гай Катулл";"";"Сергей Ким";"";"77818";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"99";"Гай Юлий Цезарь";"gaj-yulij-cezar";"http://aroslanov.com/api/celebrity/gaj-yulij-cezar";"Гай Юлий Цезарь";"";"Лия Будиянская";"Майра Тургинбаева";"81549";"79417";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"100";"Гай Юлий Цезарь Август";"gaj-yulij-cezar-avgust";"http://aroslanov.com/api/celebrity/gaj-yulij-cezar-avgust";"Гай Юлий Цезарь Август";"";"Ирина Староверова";"Майра Тургинбаева";"82615";"79950";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
